GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jenkins-exercise-1,es.upm.grise.profundizacion.jenkins,Square,4,16,1,1,1,5,1,2,0,2
jenkins-exercise-1,es.upm.grise.profundizacion.jenkins,IncorrectSideLengthException,3,0,0,0,1,0,1,0,1,0
